번호,파일명,Title,Authors,Journal,Year,DOI,URL
1,0000001.pdf,Adipose Tissue Inflammation: Linking Physiological Stressors to Disease Susceptibility,"Barry J. Bradford, G. Andres Contreras",Annual Review of Animal Biosciences,2024 Feb 15:12:261-281,10.1146/annurev-animal-021122-113212,
2,0000002.pdf,Recent Advances in Enteric Methane Mitigation and the Long Road to Sustainable Ruminant Production,"Simon Roques, Gonzalo Martinez-Fernandez, Yuliaxis Ramayo-Caldas, Milka Popova, Stuart Denman, Sarah J. Meale, et al.",Annual Review of Animal Biosciences,2024 Feb 15:12:321-343,10.1146/annurev-animal-021022-024931,
3,0000003.pdf,"Illuminating the Mysteries of the Smallest Birds: Hummingbird Population Health, Disease Ecology, and Genomics","Holly B. Ernest, Lisa A. Tell, Christine A. Bishop, Ana M. González, Emily R. Lumsdaine",Annual Review of Animal Biosciences,2024 Feb 15:12:161-185,10.1146/annurev-animal-021022-044308,
4,0000004.pdf,Biology and Cultural Importance of the Narwhal,Martin T. Nweeia,Annual Review of Animal Biosciences,2024 Feb 15:12:187-208,10.1146/annurev-animal-021122-112307,
5,0000005.pdf,Advocating for Generalizability: Accepting Inherent Variability in Translation of Animal Research Outcomes,"F.C.Hankenson, E.M.Prager, B.R.Berridge",Annual Review of Animal Biosciences,2024 Feb 15:12:391-410,10.1146/annurev-animal-021022-043531,
6,0000006.pdf,Advances in Managing Chytridiomycosis for Australian Frogs: Gradarius Firmus Victoria,"Lee Berger, Lee F. Skerratt, Tiffany A. Kosch, Laura A. Brannelly, Rebecca J. Webb, Anthony W. Waddle",Annual Review of Animal Biosciences,2024 Feb 15:12:113-133,10.1146/annurev-animal-021122-100823,
7,0000007.pdf,Future of Immune Modulation in Animal Agriculture,"Jodi L. McGill, Crystal L. Loving, Marcus E. Kehrli Jr., Anthony W. Waddle",Annual Review of Animal Biosciences,2024 Feb 15:12:113-133,10.1146/annurev-animal-021122-100823,
8,0000008.pdf,Pregnancy Establishment and Diagnosis in Livestock,"Troy L. Ott, Ahmed Tibary, Muhammad Waqas, Rodney Geisert, Julio Giordano, Anthony W. Waddle",Annual Review of Animal Biosciences,2025 Feb;13(1):211-232,10.1146/annurev-animal-021022-032214,
9,0000009.pdf,Improving Nutrition Security in Low- and Middle-Income Countries and the Role of Animal-Source Foods,"Fevi Rose Paro, Roselyn Davour, Daniel Acosta, Karah Mechlowitz, Chhavi Tiwari, Sarah L. McKune",Annual Review of Animal Biosciences,2025 Feb;13(1):211-232,10.1146/annurev-animal-021022-032214,
10,0000010.pdf,No More Extinctions: Recovering Australia's Biodiversity,"John C.Z. Woinarski, Stephen T. Garnett, Sarah M. Legge",Annual Review of Animal Biosciences,2025 Feb;13(1):507-528,10.1146/annurev-animal-111523-102004,
11,0000011.pdf,An Evolutionary Perspective on Dog Behavioral Genetics,"Kathryn A. Lord, Frances L. Chen, Elinor K. Karlsson",Annual Review of Animal Biosciences,2025 Feb;13(1):167-188,10.1146/annurev-animal-111523-101954,
12,0000012.pdf,Translational Relevance and Future Integration of the Oncopig Cancer Model in Preclinical Applications,"Lobna Elkhadragy, Ron C. Gaba, Matthew M. Niemeyer, Lawrence B. Schook, Kyle M. Schachtschneider",Annual Review of Animal Biosciences,2025 Feb;13(1):465-481,10.1146/annurev-animal-111523-102125,
13,0000013.pdf,Integrated Genomic Approaches to Characterize and Mitigate Heat Stress in Poultry,"Carl J. Schmidt, Susan J. Lamont",Annual Review of Animal Biosciences,2025 Feb;13(1):121-141,10.1146/annurev-animal-111523-102021,
14,0000014.pdf,Parasites in a Changing World: Troublesome or in Trouble?,Chelsea L. Wood,Annual Review of Animal Biosciences,2025 Feb;13(1):303-323,10.1146/annurev-animal-111523-102039,
15,0000015.pdf,Progress Toward Genetic Rescue of the Northern White Rhinoceros (Ceratotherium simum cottoni),"Marisa L. Korody, Thomas B. Hildebrandt",Annual Review of Animal Biosciences,2025 Feb;13(1):483-505,10.1146/annurev-animal-111523-102158,
16,0000016.pdf,Reproductive and Metabolic Health Following Exposure to Environmental Chemicals: Mechanistic Insights from Mammalian Models,"Michelle Bellingham, Neil P. Evans, Richard G. Lea, Vasantha Padmanabhan, Kevin D. Sinclair",Annual Review of Animal Biosciences,2025 Feb;13(1):483-505,10.1146/annurev-animal-111523-102158,
17,0000017.pdf,Evolution of 3D Chromatin Folding,"Lucía Álvarez-González, Aurora Ruiz-Herrera",Annual Review of Animal Biosciences,2025 Feb;13(1):49-71,10.1146/annurev-animal-111523-102233,
18,0000018.pdf,"Ruminating on Bovine Implantation: Its Importance in Fertility, Food Production, Conservation, and Health","Olga Amelkina, Samantha Gardner, Jessica C. Edge, Zenab Butt, Haidee Tinning, Niamh Forde",Annual Review of Animal Biosciences,2025 Feb;13(1):143-165,10.1146/annurev-animal-111523-102403,
19,0000019.pdf,"Chromosome Engineering: Technologies, Applications, and Challenges","Yihuan Mao, Yulong Zhao, Qi Zhou, Wei Li",Annual Review of Animal Biosciences,2025 Feb;13(1):25-47,10.1146/annurev-animal-111523-102225,
20,0000020.pdf,Rumen-Targeted Mining of Enzymes for Bioenergy Production,"Isaac Cann, Yanfen Cheng, Manal A.B. Alhawsawi, Mallory Moran, Yuqi Li, Tian Gong, Weiyun Zhu, Roderick I. Mackie",Annual Review of Animal Biosciences,2025 Feb;13(1):343-369,10.1146/annurev-animal-021022-030040,
21,0000021.pdf,"A One Health Approach to Reducing Livestock Disease Prevalence in Developing Countries: Advances, Challenges, and Prospects","Jennifer K. Lane, Terra Kelly, Brian Bird, Erika Chenais, Annette Roug, Gema Vidal, et al.",Annual Review of Animal Biosciences,2025 Feb;13(1):277-302,10.1146/annurev-animal-111523-102133,
22,0000022.pdf,The Path to Net-Zero in Dairy Production: Are Pronounced Decreases in Enteric Methane Achievable?,"Karen A. Beauchemin, Ermias Kebreab, Michelle Cain, Michael J. VandeHaar",Annual Review of Animal Biosciences,2025 Feb;13(1):325-341,10.1146/annurev-animal-010324-113703,
23,0000023.pdf,Convergent Evolution of Pregnancy in Vertebrates,"Camilla M. Whittington, Mitchell J. Hodgson, Christopher R. Friesen",Annual Review of Animal Biosciences,2025 Feb;13(1):189-209,10.1146/annurev-animal-111523-102029,
24,0000024.pdf,A Passion for Small Things and Staying Primed: My Career in Virology and Immunology,Linda J Saif,Annual Review of Animal Biosciences,2025 Feb;13(1):1-24,10.1146/annurev-animal-111523-101937,
25,0000025.pdf,The Geometric Framework for Nutrition and Its Application to Rodent Models,"Alistair M. Senior, David Raubenheimer, David G. Le Couteur, Stephen J. Simpson",Annual Review of Animal Biosciences,2025 Feb;13(1):389-410,10.1146/annurev-animal-111523-102327,
26,0000026.pdf,Molecular Innovations Shaping Beak Morphology in Birds,"Yalin Cheng, Matthew J. Miller, Fumin Lei",Annual Review of Animal Biosciences,2025 Feb;13(1):99-119,10.1146/annurev-animal-030424-074906,
27,0000027.pdf,The Rhesus Macaque as an Animal Model for Human Nutrition: An Ecological-Evolutionary Perspective,"Zhenwei Cui, Yunlong Dong, Jonathan Sholl, Jiqi Lu, David Raubenheimer",Annual Review of Animal Biosciences,2025 Feb;13(1):441-464,10.1146/annurev-animal-111523-102354,
28,0000028.pdf,"Lipotoxicity and Oocyte Quality in Mammals: Pathogenesis, Consequences, and Reversibility","Ben Meulders, Waleed F.A. Marei, Lien Loier, Jo L.M.R. Leroy",Annual Review of Animal Biosciences,2025 Feb;13(1):233-254,10.1146/annurev-animal-111523-102249,
29,0000029.pdf,Advances in Organ and Tissue Xenotransplantation,"Asghar Ali, Elisabeth Kemter, Eckhard Wolf",Annual Review of Animal Biosciences,2024 Feb 15:12:369-390,10.1146/annurev-animal-021122-102606,
30,0000030.pdf,How Fish Population Genomics Can Promote Sustainable Fisheries : A Road Map,"Andersson L, Bekkevold D, Berg F, Farrell ED, Felkel S, Ferreira MS, et al.",Annual Review of Animal Biosciences,2024 Feb 15;12:1-20,10.1146/annurev-animal-021122-102933,
31,0000031.pdf,Conservation Genomics and Metagenomics of Giant and Red Pandas in the Wild,"Yisi Hu, Yibo Hu, Wenliang Zhou, Fuwen Wei",Annual Review of Animal Biosciences,2024 Feb 15:12:69-89,10.1146/annurev-animal-021022-054730,
32,0000032.pdf,Diversity and Convergence of Sex-Determination Mechanisms in Teleost Fish,"Jun Kitano, Satoshi Ansai, Yusuke Takehana, Yoji Yamamoto",Annual Review of Animal Biosciences,2024 Feb 15:12:233-259,10.1146/annurev-animal-021122-113935,
33,0000033.pdf,How Can Genomics Help or Hinder Wildlife Conservation?,"Thomas L Schmidt, Joshua A Thia, Ary A Hoffmann",Annual Review of Animal Biosciences,2024 Feb 15:12:45-68,10.1146/annurev-animal-021022-051810,
34,0000034.pdf,The Distinctive Biology and Characteristics of the Bare-Nosed Wombat (Vombatus ursinus),"Scott Carver, Georgia L Stannard, Alynn M Martin",Annual Review of Animal Biosciences,2024 Feb 15:12:135-160,10.1146/annurev-animal-021022-042133,
35,0000035.pdf,Extensive Recoding of the Neural Proteome in Cephalopods by RNA Editing,"Joshua J C Rosenthal, Eli Eisenberg",Annual Review of Animal Biosciences,2023 Feb 15:11:57-75,10.1146/annurev-animal-060322-114534,
36,0000036.pdf,"Animal Models, Zoonotic Reservoirs, and Cross-Species Transmission of Emerging Human-Infecting Coronaviruses","Yakhouba Kane, Gary Wong, George F Gao",Annual Review of Animal Biosciences,2023 Feb 15:11:1-31,10.1146/annurev-animal-020420-025011,
37,0000037.pdf,A Review of Indigenous Perspectives in Animal Biosciences,"Kelsey Dayle John, Gilbert H John",Annual Review of Animal Biosciences,2023 Feb 15:11:307-319,10.1146/annurev-animal-051622-091935,
38,0000038.pdf,Domestic Animals as Potential Reservoirs of Zoonotic Viral Diseases,"Oyewale Tomori, Daniel O. Oluwayelu",Annual Review of Animal Biosciences,2023 Feb 15:11:33-55,10.1146/annurev-animal-062922-060125,
39,0000039.pdf,Poaching Forensics: Animal Victims in the Courtroom,Cindy K Harper,Annual Review of Animal Biosciences,2023 Feb 15:11:269-286,10.1146/annurev-animal-070722-084803,
40,0000040.pdf,Biologging and Biotelemetry: Tools for Understanding the Lives and Environments of Marine Animals,"Yuuki Y Watanabe, Yannis P Papastamatiou",Annual Review of Animal Biosciences,2023 Feb 15:11:247-267,10.1146/annurev-animal-050322-073657,
41,0000041.pdf,Scientific Validation of Cannabidiol for Management of Dog and Cat Diseases,"Isabella Corsato Alvarenga, Kiran S Panickar, Hannah Hess, Stephanie McGrath",Annual Review of Animal Biosciences,2023 Feb 15:11:227-246,10.1146/annurev-animal-081122-070236,
42,0000042.pdf,Evolution of Vertebrate Hormones and Their Receptors: Insights from Non-Osteichthyan Genomes,"Shigehiro Kuraku, Hiroyuki Kaiya, Tomohiro Tanaka, Susumu Hyodo",Annual Review of Animal Biosciences,2023 Feb 15:11:163-182,10.1146/annurev-animal-050922-071351,
43,0000043.pdf,Population Genomics for Insect Conservation,"Matthew T Webster, Alexis Beaurepaire, Peter Neumann, Eckart Stolle",Annual Review of Animal Biosciences,2023 Feb 15:11:115-140,10.1146/annurev-animal-122221-075025,
44,0000044.pdf,Deleterious Variation in Natural Populations and Implications for Conservation Genetics,"Jacqueline Robinson, Christopher C Kyriazis, Stella C Yuan, Kirk E Lohmueller",Annual Review of Animal Biosciences,2023 Feb 15:11:93-114,10.1146/annurev-animal-080522-093311,
45,0000045.pdf,The Naked Mole-Rat as a Model for Healthy Aging,"Kaori Oka, Masanori Yamakawa, Yoshimi Kawamura, Nobuyuki Kutsukake, Kyoko Miura",Annual Review of Animal Biosciences,2023 Feb 15:11:207-226,10.1146/annurev-animal-050322-074744,
46,0000046.pdf,The Role of Zoos and Aquariums in a Changing World,"Rafael Miranda, Nora Escribano, Maria Casas, Andrea Pino-Del-Carpio, Ana Vi",Annual Review of Animal Biosciences,2023 Feb 15:11:287-306,10.1146/annurev-animal-050622-104306,
47,0000047.pdf,The Biology and Evolution of Fierce Females (Moles and Hyenas),"Rafael Jimenez, Miguel Burgos, Francisco J Barrionuevo",Annual Review of Animal Biosciences,2023 Feb 15:11:141-162,10.1146/annurev-animal-050622-043424,
48,0000048.pdf,Nonhuman Primates in Translational Research,"Alice F Tarantal, Stephen C Noctor, Dennis J Hartigan-O'Connor",Annual Review of Animal Biosciences,2022 Feb 15:10:441-468,10.1146/annurev-animal-021419-083813,
49,0000049.pdf,Dog Models of Aging,"Audrey Ruple, Evan MacLean, Noah Snyder-Mackler, Kate E Creevy, Daniel Promislow",Annual Review of Animal Biosciences,2022 Feb 15:10:419-439,10.1146/annurev-animal-051021-080937,
50,0000050.pdf,Physiological Genomics of Adaptation to High-Altitude Hypoxia,"Jay F Storz, Zachary A Cheviron",Annual Review of Animal Biosciences,2021 Feb 16:9:149-171,10.1146/annurev-animal-072820-102736,
51,0000051.pdf,Genetic Engineering of Livestock: The Opportunity Cost of Regulatory Delay,"Alison L Van Eenennaam, Felipe De Figueiredo Silva, Josephine F Trott, David Zilberman",Annual Review of Animal Biosciences,2021 Feb 16:9:453-478,10.1146/annurev-animal-061220-023052,
52,0000052.pdf,Programmed DNA Elimination in Vertebrates,"Jeramiah J Smith, Vladimir A Timoshevskiy, Cody Saraceno",Annual Review of Animal Biosciences,2021 Feb 16:9:173-201,10.1146/annurev-animal-061220-023220,
53,0000053.pdf,African Swine Fever Epidemiology and Control,"Linda K. Dixon, Karl Stahl, Ferran Jori, Laurence Vial, Dirk U. Pfeiffer",Annual Review of Animal Biosciences,2020 Feb 15:8:221-246,10.1146/annurev-animal-021419-083741,
54,0000054.pdf,Use of Mechanistic Nutrition Models to Identify Sustainable Food Animal Production,"Mark D Hanigan, Veridiana L Daley",Annual Review of Animal Biosciences,2020 Feb 15:8:355-376,10.1146/annurev-animal-021419-083913,
55,0000055.pdf,Regulation of Muscle Growth in Early Postnatal Life in a Swine Model,"Marko Rudar, Marta L Fiorotto, Teresa A Davis",Annual Review of Animal Biosciences,2019 Feb 15:7:309-335,10.1146/annurev-animal-020518-115130,
56,0000056.pdf,Whole-Genome Alignment and Comparative Annotation,"Joel Armstrong, Ian T Fiddes, Mark Diekhans, Benedict Paten",Annual Review of Animal Biosciences,2019 Feb 15:7:41-64,10.1146/annurev-animal-020518-115005,
57,0000057.pdf,Tolerance and Innate Immunity Shape the Development of Postpartum Uterine Disease and the Impact of Endometritis in Dairy Cattle,"I Martin Sheldon, James G Cronin, John J Bromfield",Annual Review of Animal Biosciences,2019 Feb 15:7:361-384,10.1146/annurev-animal-020518-115227,
58,0000058.pdf,Prenatal Steroids and Metabolic Dysfunction: Lessons from Sheep,"Rodolfo C Cardoso, Vasantha Padmanabhan",Annual Review of Animal Biosciences,2019 Feb 15:7:337-360,10.1146/annurev-animal-020518-115154,
59,0000059.pdf,Equine Intestinal Mucosal Pathobiology,"Anthony Blikslager, Liara Gonzalez",Annual Review of Animal Biosciences,2018 Feb 15:6:157-175,10.1146/annurev-animal-030117-014748,
60,0000060.pdf,The Genome 10K Project: a way forward,"Klaus-Peter Koepfli, Benedict Paten, Stephen J O'Brien",Annual Review of Animal Biosciences,2015:3:57-111,10.1146/annurev-animal-090414-014900,
61,0000061.pdf,Clinical Value of Various Histological Factors in Cutaneous and Subcutaneous Mast Cell Tumors in 197 Dogs.,"Boyd K, Dobromylskyj M, Schofield I, O'Neill D, Figueroa C, Davies O.",Journal of Veterinary Internal Medicine,2025 Nov-Dec;39(6):e70244,10.1111/jvim.70244,https://pmc.ncbi.nlm.nih.gov/articles/PMC12528809/
62,0000062.pdf,"Effect of N-Butylscopolammonium Bromide and Metamizol Sodium on Heart Rate, Blood Pressure, and Echocardiographic Measurements in Warmblood Horses With Aortic and Mitral Valve Regurgitation.","Dufourni A, Demeyere M, Vernemmen I, Van Steenkiste G, Verhaeghe LM, van Loon G, Decloedt A.",Journal of Veterinary Internal Medicine,2025 Nov-Dec;39(6):e70254,10.1111/jvim.70254,https://pmc.ncbi.nlm.nih.gov/articles/PMC12511949/
63,0000063.pdf,Effects of the Sodium-Glucose Cotransporter-2 Inhibitor Velagliflozin on Insulin Concentrations in Horses With Insulin Dysregulation.,"Thane K, Voth R, Klee R, Warnken T, Chukwu V, Frank N.",Journal of Veterinary Internal Medicine,2025 Nov-Dec;39(6):e70256,10.1111/jvim.70256,https://pmc.ncbi.nlm.nih.gov/articles/PMC12508266/
64,0000064.pdf,Evaluation of Owner-Reported Clinical Signs and Fecal Occult Blood Tests as Predictors of Equine Gastric Ulcer Syndrome in Competition Dressage Horses.,"Frippiat T, Bonhomme M, Dyson S, Votion DM.",Journal of Veterinary Internal Medicine,2025 Nov-Dec;39(6):e70248,10.1111/jvim.70248,https://pmc.ncbi.nlm.nih.gov/articles/PMC12501954/
65,0000065.pdf,Prognostic Value of Intrarenal Venous Flow Analysis Using Pulsed-Wave Doppler.,"Morita T, Terukina H, Yamasaki M.",Journal of Veterinary Internal Medicine,2025 Nov-Dec;39(6):e70260,10.1111/jvim.70260,https://pmc.ncbi.nlm.nih.gov/articles/PMC12491933/
66,0000066.pdf,"Evaluation of a Rapid, Low-Cost Broth Turbidity Test for Detecting Ampicillin-Resistant Lower Urinary Tract Infections in Dogs and Cats.","Brookshire WC, Ballard L, Collinsgru A, Burnette J, Ferdous K, Park JY, Seo KS.",Journal of Veterinary Internal Medicine,2025 Nov-Dec;39(6):e70259,10.1111/jvim.70259,https://pmc.ncbi.nlm.nih.gov/articles/PMC12489317/
67,0000067.pdf,Treatment With Remdesivir Alone or in Combination With GS-441524 in Cats With Ocular Involvement of Feline Infectious Peritonitis: An Observational Case Series.,"Andrews ALMM, Izaguirre E, Green J, Scurrell E, Gogova S, Tayler S, Kafarnik C.",Journal of Veterinary Internal Medicine,2025 Nov-Dec;39(6):e70253,10.1111/jvim.70253,https://pmc.ncbi.nlm.nih.gov/articles/PMC12489317/
68,0000068.pdf,Reversible Cardio-Renal-Cerebral Syndrome in a Dog: A Case Report.,"Candelario G, Kramer G, Williams B, Seies S, Gaudette N, Patterson Rosa L.",Journal of Veterinary Internal Medicine,2025 Nov-Dec;39(6):e70249,10.1111/jvim.70249,https://pmc.ncbi.nlm.nih.gov/articles/PMC12489177/
69,0000069.pdf,Thoracic Ultrasonography in Calves: A Narrative Review of Techniques and Reporting Practices.,"Lindley G, Donlon J, Buczinski S.",Journal of Veterinary Internal Medicine,2025 Nov-Dec;39(6):e70251,10.1111/jvim.70251,https://pmc.ncbi.nlm.nih.gov/articles/PMC12483840/
70,0000070.pdf,Complementary Muscle Metabolomics and Proteomics of Muscle in Cows With Post-Calving Ketosis.,"Tang T, Zhou J, Shao J, Wang M, Xia S, Sun W, Jia X, Wang J, Lai S.",Journal of Veterinary Internal Medicine,2025 Nov-Dec;39(6):e70214,10.1111/jvim.70214,https://pmc.ncbi.nlm.nih.gov/articles/PMC12481043/
