번호,파일명,Title,Authors,Journal,Year,DOI,URL
200,0000200.pdf,Cerebrospinal Fluid Concentrations of Calcitonin Gene Related Peptide in Dogs With Chiari-Like Malformation.,"Macri JD, Sparks C, Anderson Z, Olby N.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70105,10.1111/jvim.70105,
201,0000201.pdf,Supplementation of Vitamin K1 in Dogs With Chronic Enteropathy.,"Smith JM, Smith CK, Zhu X, Hartley A, Lennon EM.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70111,10.1111/jvim.70111,
202,0000202.pdf,Clinical Features That Increase Suspicion of Brucella canis Infection in Dogs With Discospondylitis: A Multicenter Case-Control Study.,"Moeller CM, Bartges JW, Brust KD, Kass PH, Kelly RF, Lashnits EW, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70112,10.1111/jvim.70112,
203,0000203.pdf,Longitudinal Study of Renal Health Screening in Apparently Healthy Aging Dogs.,"Marynissen S, Daminet S, Meyer E, Demeyere K, Stock E, Delanghe J, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70116,10.1111/jvim.70116,
204,0000204.pdf,Long-Term Response of Equids With Pituitary Pars Intermedia Dysfunction to Treatment With Pergolide.,"Schott HC 2nd, Strachota JR, Marteniuk JV, Refsal KR.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70109,10.1111/jvim.70109,
205,0000205.pdf,Long-Term Firocoxib Use in Horses.,"Buzelato Carli I, Fielding L.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70117,10.1111/jvim.70117,
206,0000206.pdf,Mycobacterium fortuitum Infection Associated With Septic Arthritis and Mycobacteremia in a Dog From Northern California.,"Li T, Alonso FH, Rhoades A, Kelman A, Affolter V, Sykes JE, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70083,10.1111/jvim.70083,
207,0000207.pdf,"Jugular Foramen Syndrome: Concurrent Neurological Deficits, Advanced Imaging Findings, Underlying Diagnoses, and Outcomes in 14 Dogs (2016-2024).","Madden M, Liatis T, Llanos C, Dancer S, Alvarez P, Tayler S, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70088,10.1111/jvim.70088,
208,0000208.pdf,Allele Frequencies and Genotypes for the Ryanodine Receptor 1 Variant Causing Malignant Hyperthermia and Fatal Rhabdomyolysis With Hyperthermia in Horses.,"Aleman M, McCue M, Bellone RR.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70081,10.1111/jvim.70081,
209,0000209.pdf,"Epidemiological Evaluation of Neuter Status, Sex, and Breed in Dogs With Cystine Uroliths.","Lulich JP, Ulrich R, Furrow E.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70110,10.1111/jvim.70110,
210,0000210.pdf,Case Series of Canine Myasthenia Gravis: A Classification Approach With Consideration of Seronegative Dogs.,"Dos Santos RX, Waelkens J, Crawford AH, Khan S, Sami S, Gomes SA, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70113,10.1111/jvim.70113,
211,0000211.pdf,Association of Diet and Calcium Tartrate Tetrahydrate Uroliths in Dogs.,"Lulich J, Koehler L, Ulrich L, Furrow E.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70093,10.1111/jvim.70093,
212,0000212.pdf,Assessing Ureteral Patency by Fluoroscopy and Ultrasonography After Subcutaneous Ureteral Bypass Device Placement for the Treatment of Benign Ureteral Obstruction in Cats.,"Habib Y, Vachon C, Juette T, Dunn M.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70078,10.1111/jvim.70078,
213,0000213.pdf,Diagnostic Value of Echocardiography in Cats With and Without Ultrasonographic Evidence of Renal Infarction.,"Gibson SD, Lourenço BN, De la Rosa MB, Coleman AE, McLaughlin C, Arne A, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70107,10.1111/jvim.70107,
214,0000214.pdf,Efficacy of Urine Asymmetric Dimethylarginine Concentration to Predict Azotemia in Hyperthyroid Cats After Radio-Iodine Treatment.,"Vanden Broecke E, Stammeleer L, Stock E, De Paepe E, Daminet S.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70096,10.1111/jvim.70096,
215,0000215.pdf,"Clinical Signs, Advanced Diagnostic Imaging Findings, Treatment, and Outcome of Mycotic Discospondylitis in 11 Dogs.","Okonji S, Di Paola A, Benini S, Gallucci A, Cauduro A, Falzone C, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70097,10.1111/jvim.70097,
216,0000216.pdf,Novel Intracardiac Ultrasound Images Developed on a Cardiac Ultrasound Simulator and Validated in Live Horses.,"Vernemmen I, Demeyere M, Van Steenkiste G, Buschmann E, Decloedt A, van Loon G, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70087,10.1111/jvim.70087,
217,0000217.pdf,"Urinary Cystatin C, Glucose, Urea, and Electrolytes in Dogs at Various Stages of Chronic Kidney Disease.","Selin AK, Lilliehöök I, Strage EM, Larsson A, Pelander L.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70090,10.1111/jvim.70090,
218,0000218.pdf,Clinical Outcomes of Mitral Valve Repair in Dogs With Pulmonary Hypertension Secondary to Myxomatous Mitral Valve Disease.,"Yoshida T, Adin D, Matsuura K.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70106,10.1111/jvim.70106,
219,0000219.pdf,Association Between Diet Type and Owner-Reported Health Conditions in Dogs in the Dog Aging Project.,"Ortiz AV, Luo I, O'Brien J, Murphy M, Rollins AW, Kaeberlein M, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70060,10.1111/jvim.70060,
220,0000220.pdf,Effects of an Iso-Osmotic Chloride-Free Solution With High Strong Ion Difference vs. Ringer's Lactate on Non-Lactate Metabolic Acidosis in Dogs.,"Rabozzi R, Oricco S.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70099,10.1111/jvim.70099,
221,0000221.pdf,Cerebrospinal Fluid Cytokine and Chemokine Analysis in Dogs With MUO or Idiopathic Epilepsy.,"Byron MJ, Parker AL, Parry S, Merbl Y.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70229.,10.1111/jvim.70229,https://pubmed.ncbi.nlm.nih.gov/40859633/
222,0000222.pdf,Cholesterol Ester Storage Disease in Two Field Spaniels With LAL Deficiency.,"Syrjä P, Ylenius MMH, Kråkström M, Dickens AM, Rautala E, Huupponen A, et al.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70223.,10.1111/jvim.70223,https://pubmed.ncbi.nlm.nih.gov/40859629/
223,0000223.pdf,Effects of Velagliflozin in 8 Cats With DM and Hypersomatotropism.,"Del Baldo F, Corsini A, Bresciani F, Pergolese V, Tirelli I, Tardo AM, et al.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70222.,10.1111/jvim.70222,https://pubmed.ncbi.nlm.nih.gov/40853201/
224,0000224.pdf,Fecal & Clinical Profiles of Dogs With CE Treated With Bile Acid Sequestrants.,"Toresson L, Blake AB, Sung CH, Olmedal G, Ludvigsson U, Giaretta PR, et al.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70206.,10.1111/jvim.70206,https://pubmed.ncbi.nlm.nih.gov/40833185/
225,0000225.pdf,Pituitary Dwarfism & ACTH Deficiency in a White Swiss Shepherd Dog.,"Schils G, Stammeleer L, Daminet S.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70193.,10.1111/jvim.70193,https://pubmed.ncbi.nlm.nih.gov/40833232/
226,0000226.pdf,Agreement of Lung Sound Auscultation for Detecting Bronchopneumonia in Calves.,"Princisval L, Boccardo A, Pravettoni D, Ferraro S, Valarcher JF, Gomes V, et al.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70203.,10.1111/jvim.70203,https://pubmed.ncbi.nlm.nih.gov/40826830/
227,0000227.pdf,Multi-Steroid Profiles in Cats With Hyperaldosteronism or Other Diseases.,"Watson AH, Gilligan LC, Taylor AE, Arlt W, Syme HM.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70209.,10.1111/jvim.70209,https://pubmed.ncbi.nlm.nih.gov/40813337/
228,0000228.pdf,Isolation of Campylobacter upsaliensis From an Abscessed Hepatic Mass in a Dog.,"Boston TA, Lawhon SD, Aitee GF, Como K, Sannajust K, Gremillion CL, et al.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70195.,10.1111/jvim.70195,https://pubmed.ncbi.nlm.nih.gov/40811733/
229,0000229.pdf,Microbial Gene Profiling & Targeted Metabolomics in Dogs With CE.,"Chen CC, Pilla R, Toresson L, Sung CH, Blake AB, Correa Lopes B, et al.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70199.,10.1111/jvim.70199,https://pubmed.ncbi.nlm.nih.gov/40810386/
230,0000230.pdf,Hepatopathy in a Holstein Calf After Transfusion With Plasma Containing Bovine Bosavirus.,"Peek SF, Holschbach CL, Burton AJ, Sikorska ZW, Crawford LK, Dunn CD, et al.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70208.,10.1111/jvim.70208,https://pubmed.ncbi.nlm.nih.gov/40810341/
231,0000231.pdf,Invasive Tracheal and Cranial Mediastinal Aspergillosis in a Young Healthy Cat.,"Mutascio LM, Crooks JC.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70204.,10.1111/jvim.70204,https://pubmed.ncbi.nlm.nih.gov/40802537/
232,0000232.pdf,Antibiograms of Bacterial Cultures From Equine Neonates at a United Kingdom Hospital: 381 Samples (2018–2023),"Graham AE, Colgate VA, Floyd EF.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70198.,10.1111/jvim.70198,https://pubmed.ncbi.nlm.nih.gov/40802493/
233,0000233.pdf,"Lesions Distribution, Nature and Severity Along the Gastrointestinal Tract in Cats With Low-Grade Intestinal T-Cell Lymphoma or Lymphoplasmacytic Enteritis","Bernard P, Remmel P, Cordonnier N, Freiche V.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70148.,10.1111/jvim.70148,https://pubmed.ncbi.nlm.nih.gov/40767104/
234,0000234.pdf,Retrospective Evaluation of the Causes and Fluid Characteristics of Cavitary Effusions in Dogs and Cats,"Sotillo S, Viall AK, Palerme JS, Ward JL.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70205.,10.1111/jvim.70205,https://pubmed.ncbi.nlm.nih.gov/40757981/
235,0000235.pdf,Evaluation of Hyperlipasemia and Clinical Signs in 106 Dogs After Hospitalization for Acute Pancreatitis,Kook PH.,J Vet Intern Med.,2025 Sep-Oct;39(5):e70188.,10.1111/jvim.70188,https://pubmed.ncbi.nlm.nih.gov/40747549/
236,0000236.pdf,Trigeminal Nerve Asymmetry in Horses With Idiopathic Trigeminal-Mediated Headshaking,"Heun F, Delarocque J, Feige K, Hellige M.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70196.,10.1111/jvim.70196,https://pubmed.ncbi.nlm.nih.gov/40739903/
237,0000237.pdf,Meigs'-Like Syndrome Secondary to Remnant Ovarian Tissue in a Cat,"Galvani C, Bigi S, Saponaro F, Selmi G, Ganapini M, Longo M, et al.",J Vet Intern Med.,2025 Sep-Oct;39(5):e70168.,10.1111/jvim.70168,https://pubmed.ncbi.nlm.nih.gov/40734509/
238,0000238.pdf,Neurolymphomatosis of T-Cell Origin in a Dog,"Müller MK, Irmscher M, Goldbach N, Haake AFH, Kershaw O, Baloi PA, et al.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70189.,10.1111/jvim.70189,https://pubmed.ncbi.nlm.nih.gov/40702997/
239,0000239.pdf,Clinical and Pathologic Characterization of Proteinuric Kidney Disease in Australian and New Zealand Dogs,"Kopecny L, White JD.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70187.,10.1111/jvim.70187,https://pubmed.ncbi.nlm.nih.gov/40692207/
240,0000240.pdf,Adverse Drug-Drug Interaction Between Phenobarbital and Fluconazole in Two Dogs,"Jaramillo M, Mondino A, Court M, Lewis MJ, Olby NJ, Muñana KR, et al.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70190.,10.1111/jvim.70190,https://pubmed.ncbi.nlm.nih.gov/40682369/
241,0000241.pdf,Longitudinal Assessment and Cost-Benefit Analysis of Prophylactic Fenestration in Chondrodystrophic Dogs,"Low D, Vallios V, Basto T, Charalambous M.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70191.,10.1111/jvim.70191,https://pubmed.ncbi.nlm.nih.gov/40678823/
242,0000242.pdf,Orthodromic Atrioventricular Reentry Bradycardia and Tachycardia Caused by an Accessory Pathway in Horses,"Buschmann E, Easton-Jones C, Van Steenkiste G, De Wilde H, Roberts V, Durando M, et al.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70175.,10.1111/jvim.70175,https://pubmed.ncbi.nlm.nih.gov/40671630/
243,0000243.pdf,An e-Reporting Tool for Facilitating Submission of Veterinary Adverse Drug Reaction Reports,"Davies H, Smyth S, Pinchbeck G, Pirmohamed M, Savory R, Noble PJ, et al.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70173.,10.1111/jvim.70173,https://pubmed.ncbi.nlm.nih.gov/40650501/
244,0000244.pdf,Metabolic Alterations Associated With Rapidly Progressive Chronic Kidney Disease in Cats,"van Mulders L, Vanden Broecke E, Mortier F, de Paepe E, Vanhaecke L, Daminet S.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70170.,10.1111/jvim.70170,https://pubmed.ncbi.nlm.nih.gov/40622820/
245,0000245.pdf,Exploring the Importance of Repeated Health Screening in Healthy Older Dogs,"Marynissen S, Mortier F, Duchateau L, Smets P, Daminet S, Paepe D.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70166.,10.1111/jvim.70166,https://pubmed.ncbi.nlm.nih.gov/40622778/
246,0000246.pdf,"Safety, Efficacy and Doxorubicin Pharmacokinetics During Cannabidiol/Cannabidiolic Acid Rich Hemp Oil Use in Dogs With Lymphoma","Lejeune A, Bechtel S, Milner R, Fagman L, Leal Yepes FA, Wakshlag JJ.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70179.,10.1111/jvim.70179,https://pubmed.ncbi.nlm.nih.gov/40622742/
247,0000247.pdf,A CNTNAP1 Missense Variant Associated With Laryngeal Paralysis and Polyneuropathy in Young Great Dane Dogs,"Shelton GD, Carpentier MC, Kimura YM, Guo LT, Minor KM.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70185,10.1111/jvim.70185,https://pubmed.ncbi.nlm.nih.gov/40622077/
248,0000248.pdf,Continuous Renal Replacement Therapy: Application of KDIGO Guidelines in Dogs With Acute Kidney Injury,"Raskansky H, Bruchim Y, Nivy R.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70183.,10.1111/jvim.70183,https://pubmed.ncbi.nlm.nih.gov/40613773/
249,0000249.pdf,Use of a Modified Transhepatic Rendezvous Technique for Stenting of Malignant Biliary Obstruction in 2 Cats,"Doherty R, Berent AC, Weisse C.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70178.,10.1111/jvim.70178,https://pubmed.ncbi.nlm.nih.gov/40613763/
250,0000250.pdf,Myocardial and Renal Renin-Angiotensin System Enzyme Activity in Dogs,"Weitzhandler EC, Ames MK, Wilson MD, Domenig O.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70181.,10.1111/jvim.70181,https://pubmed.ncbi.nlm.nih.gov/40601867/
251,0000251.pdf,Subjective Assessment of Right Heart Size and Function Using Standard 2D-Echo in Horses,"van Spijk JN, Junge HK, Eberhardt C, Wolf N, Vogt D, Zscherpe P, et al.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70145.,10.1111/jvim.70145,https://pubmed.ncbi.nlm.nih.gov/40586330/
252,0000252.pdf,Prednisolone vs Cyclosporine (Open Label) for Presumed Chronic Pancreatitis in Cats,"Wu YA, Lidbury JA, Sinha S, Steiner JM.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70163.,10.1111/jvim.70163,https://pubmed.ncbi.nlm.nih.gov/40577334/
253,0000253.pdf,Investigation of Clinician-Determined Variables Associated With Progressive Myelomalacia,"Donoghue E, Mankin J, Jeffery N.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70180.,10.1111/jvim.70180,https://pubmed.ncbi.nlm.nih.gov/40577200/
254,0000254.pdf,Utility of a Modified Penlight-Cover Test for Neurolocalization in Dogs & Cats With Vestibular Disease,"Chan A, Longson GE, Ives E, Turner C, Freeman P, Brady S, et al.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70182.,10.1111/jvim.70182,https://pubmed.ncbi.nlm.nih.gov/40577055/
255,0000255.pdf,Longitudinal Assessment of QT Apex in Tumor-Bearing Dogs Receiving Doxorubicin,"Kitagawa K, Ryave J, Sanders RA, Lee JH, Zhang Z, Vilar Saavedra P.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70169.,10.1111/jvim.70169,https://pubmed.ncbi.nlm.nih.gov/40574490/
256,0000256.pdf,Esophageal Candidiasis in Two Dogs With Megaesophagus,"Anderson KL, Tefft KM.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70184.,10.1111/jvim.70184,https://pubmed.ncbi.nlm.nih.gov/40570295/
257,0000257.pdf,Pharmacokinetics of Orally Administered Phenazopyridine in Goats With Obstructive Urolithiasis,"Mitman SL, Mzyk DA, Camacho BE, Council-Troche RM, Davis J, Foster DM, et al.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70167.,10.1111/jvim.70167,https://pubmed.ncbi.nlm.nih.gov/40570160/
258,0000258.pdf,Clinical Presentation and Diagnosis of Multisystemic Eosinophilic Epitheliotropic Disease in a Miniature Donkey,"Enriquez CK, Long AE, de Solis CN, Habecker PL, Nolen-Walston R.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70172.,10.1111/jvim.70172,https://pubmed.ncbi.nlm.nih.gov/40546083/
259,0000259.pdf,Freestyle Libre-Derived Metrics in Assessing Glycemic Control in Diabetic Dogs,"Del Baldo F, Tardo AM, Gilor C, Mott J, Da Vela C, Pergolese V, et al.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70151.,10.1111/jvim.70151,https://pubmed.ncbi.nlm.nih.gov/40530881/
260,0000260.pdf,Major Complications Associated With Cerebrospinal Fluid Collection in 11 Dogs,"Danciu CG, McCarthy A, Crawford A.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70165.,10.1111/jvim.70165,https://pubmed.ncbi.nlm.nih.gov/40526210/
261,0000261.pdf,Prevalence and Whole Genome Sequence Analysis of Mycoplasma bovis From Bulk Tank Milk in Tennessee,"Gelgie AE, Gelalcha BD, Christensen D, Freeman T, Beever JE, Dego OK.",J Vet Intern Med.,2025 Jul-Aug;39(4):e70164.,10.1111/jvim.70164,https://pubmed.ncbi.nlm.nih.gov/40525812/
262,0000262.pdf,Caesarean Section,WSAVA Pain Commitee,,,,
263,0000263.pdf,Cancer Pain,WSAVA Pain Commitee,,,,
264,0000264.pdf,Castration and Ovariohysterectomy/Ovariectomy : Dogs,WSAVA Pain Commitee,,,,
265,0000265.pdf,Castration and Ovariohysterectomy/Ovariectomy : Cats,WSAVA Pain Commitee,,,,
266,0000266.pdf,Degenerative joint disease,WSAVA Global Pain Council,,,,
267,0000267.pdf,Emergency and Critical Care,WSAVA Pain Commitee,,,,
268,0000268.pdf,WSAVA guidelines for the control of reproduction in dogs and cats,"S. Romagnoli, N. Krekeler, K. De Cramer, M. Kutzler, R. McCarthy, S. Schaefer-Somi",Journal of Small Animal Practice,2024 Jul;65(7):424-559,10.1111/jsap.13724,
269,0000269.pdf,Medical Pain,WSAVA Pain Commitee,,,,
270,0000270.pdf,Neuropathic Pain,WSAVA Pain Commitee,,,,
271,0000271.pdf,Orthopedic Surgery,WSAVA Pain Commitee,,,,
272,0000272.pdf,Pediatric Pain,WSAVA Pain Commitee,,,,
273,0000273.pdf,Pregnant or lactating patients,WSAVA Global Pain Council,,,,
274,0000274.pdf,Soft Tissue Surgery,WSAVA Pain Commitee,,,,
275,0000275.pdf,"Endoscopic, Biopsy, and Histopathologic Guidelines for the Evaluation of Gastrointestinal Inflammation in Companion Animals","R.J. Washabau, M.J. Day, M.D. Willard, E.J. Hall, A.E. Jergens, J. Mansell, T. Minami, and T.W. Bilzer",J Vet Intern Med,2010 Jan-Feb;24(1):10-26,10.1111/j.1939-1676.2009.0443.x,
276,0000276.pdf,Perceived level of pain associated with various conditions,WSAVA Global Pain Council,,,,
277,0000277.pdf,Nutrition Assessment Guidelines,"Freeman L., Becvarova I., Cave N., MacKay C., Nguyen P., Rama B., et al.",J Feline Med Surg,2011 Jul;13(7):516-25,10.1016/j.jfms.2011.05.009,
278,0000278.pdf,2024 guidelines for the vaccination of dogs and cats – compiled by the Vaccination Guidelines Group (VGG) of the World Small Animal Veterinary Association (WSAVA),"R.A. Squires, C. Crawford, M. Marcondes, N. Whitley",Journal of Small Animal Practice,2024 May;65(5):277-316,10.1111/jsap.13718,
